# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.replace.by.source.ms,1736318043812000000,1736318104025000000,33
jps.save.global.entities.ms,1736318043812000000,1736318104025000000,90
jps.global.get.library.ms,1736318043812000000,1736318104025000000,0
jps.apply.loaded.storage.ms,1736318043812000000,1736318104025000000,64
workspaceModel.mutableEntityStorage.entities.by.source.ms,1736318043812000000,1736318104025000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1736318043812000000,1736318104025000000,56
workspaceModel.orphan.listener.update.ms,1736318043812000000,1736318104025000000,6
jps.load.initial.state.ms,1736318043812000000,1736318104025000000,133
workspaceModel.sync.entities.ms,1736318043812000000,1736318104025000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1736318043812000000,1736318104025000000,0
jps.app.storage.content.writer.save.component.ms,1736318043812000000,1736318104025000000,30
workspaceModel.global.apply.state.to.project.builder.ms,1736318043812000000,1736318104025000000,21
jps.storage.jps.conf.reader.load.component.ms,1736318043812000000,1736318104025000000,8
jps.artifact.entities.serializer.save.entities.ms,1736318043812000000,1736318104025000000,0
workspaceModel.mutableEntityStorage.instances.count,1736318043812000000,1736318104025000000,30
workspaceModel.mutableEntityStorage.collect.changes.ms,1736318043812000000,1736318104025000000,1
jps.global.initialize.library.bridges.after.loading.ms,1736318043812000000,1736318104025000000,1
workspaceModel.moduleBridgeLoader.loading.modules.ms,1736318043812000000,1736318104025000000,917
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1736318043812000000,1736318104025000000,1
jps.module.iml.entities.serializer.load.entities.ms,1736318043812000000,1736318104025000000,81
workspaceModel.global.updates.ms,1736318043812000000,1736318104025000000,54
workspaceModel.moduleManagerBridge.load.all.modules.ms,1736318043812000000,1736318104025000000,87
workspaceModel.do.save.caches.ms,1736318043812000000,1736318104025000000,316
jps.global.get.library.by.name.ms,1736318043812000000,1736318104025000000,0
jps.project.serializers.save.ms,1736318043812000000,1736318104025000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1736318043812000000,1736318104025000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1736318043812000000,1736318104025000000,2
workspaceModel.mutableEntityStorage.to.snapshot.ms,1736318043812000000,1736318104025000000,8
jps.save.changed.project.entities.ms,1736318043812000000,1736318104025000000,2
workspaceModel.global.updates.count,1736318043812000000,1736318104025000000,1
jps.app.storage.content.reader.load.component.ms,1736318043812000000,1736318104025000000,37
workspaceModel.global.apply.state.to.project.ms,1736318043812000000,1736318104025000000,131
jps.library.entities.serializer.load.entities.ms,1736318043812000000,1736318104025000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1736318043812000000,1736318104025000000,0
jps.module.iml.entities.serializer.save.entities.ms,1736318043812000000,1736318104025000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1736318043812000000,1736318104025000000,6
jps.project.serializers.load.ms,1736318043812000000,1736318104025000000,135
jps.global.get.libraries.ms,1736318043812000000,1736318104025000000,1
jps.global.initialize.library.bridges.ms,1736318043812000000,1736318104025000000,2
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1736318043812000000,1736318104025000000,0
jps.artifact.entities.serializer.load.entities.ms,1736318043812000000,1736318104025000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1736318043812000000,1736318104025000000,0
jps.facet.change.listener.process.change.events.ms,1736318043812000000,1736318104025000000,0
JVM.totalDirectByteBuffersBytes,1736318043812000000,1736318104025000000,122253744
JVM.totalSafepointCount,1736318043812000000,1736318104025000000,207
JVM.totalTimeAtSafepointsMs,1736318043812000000,1736318104025000000,664
OS.loadAverage,1736318043812000000,1736318104025000000,1.955078125
JVM.maxThreadCount,1736318043812000000,1736318104025000000,106
JVM.totalCpuTimeMs,1736318043812000000,1736318104025000000,62440
JVM.totalTimeToSafepointsMs,1736318043812000000,1736318104025000000,113
JVM.GC.collectionTimesMs,1736318043812000000,1736318104025000000,433
JVM.threadCount,1736318043812000000,1736318104025000000,104
JVM.totalBytesAllocated,1736318043812000000,1736318104025000000,935569072
JVM.usedHeapBytes,1736318043812000000,1736318104025000000,271056896
JVM.usedNativeBytes,1736318043812000000,1736318104025000000,268584144
JVM.GC.collections,1736318043812000000,1736318104025000000,28
JVM.maxHeapBytes,1736318043812000000,1736318104025000000,2147483648
JVM.newThreadsCount,1736318043812000000,1736318104025000000,110
workspaceModel.cachedValueWithParameters.total.get.count,1736318043812000000,1736318104025000000,0
workspaceModel.collect.changes.ms,1736318043812000000,1736318104025000000,0
workspaceModel.updates.ms,1736318043812000000,1736318104025000000,69
workspaceModel.updates.precise.ms,1736318043812000000,1736318104025000000,15
workspaceModel.update.unloaded.entities.ms,1736318043812000000,1736318104025000000,0
workspaceModel.cachedValue.calculated.count,1736318043812000000,1736318104025000000,8
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1736318043812000000,1736318104025000000,355
workspaceModel.on.changed.ms,1736318043812000000,1736318104025000000,14
workspaceModel.pre.handlers.ms,1736318043812000000,1736318104025000000,1
workspaceModel.full.replace.project.model.ms,1736318043812000000,1736318104025000000,11
workspaceModel.replace.project.model.ms,1736318043812000000,1736318104025000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1736318043812000000,1736318104025000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1736318043812000000,1736318104025000000,708
workspaceModel.cachedValueWithParameters.clear.count,1736318043812000000,1736318104025000000,0
workspaceModel.cachedValue.from.cache.count,1736318043812000000,1736318104025000000,196
workspaceModel.loading.total.ms,1736318043812000000,1736318104025000000,397
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1736318043812000000,1736318104025000000,1
workspaceModel.loading.from.cache.ms,1736318043812000000,1736318104025000000,374
workspaceModel.workspaceFileIndexData.markDirty.ms,1736318043812000000,1736318104025000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1736318043812000000,1736318104025000000,19
workspaceModel.to.snapshot.ms,1736318043812000000,1736318104025000000,0
workspaceModel.cachedValue.clear.count,1736318043812000000,1736318104025000000,0
workspaceModel.cachedValue.total.get.count,1736318043812000000,1736318104025000000,204
workspaceModel.init.bridges.ms,1736318043812000000,1736318104025000000,3
workspaceModel.cachedValueWithParameters.from.cache.count,1736318043812000000,1736318104025000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1736318043812000000,1736318104025000000,0
workspaceModel.updates.count,1736318043812000000,1736318104025000000,3
workspaceModel.workspaceFileIndexData.processFileSets.ms,1736318043812000000,1736318104025000000,0
workspaceModel.workspaceFileIndexData.init.ms,1736318043812000000,1736318104025000000,221
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1736318043812000000,1736318104025000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1736318043812000000,1736318104025000000,0
workspaceModel.on.before.changed.ms,1736318043812000000,1736318104025000000,32
workspaceModel.workspaceFileIndexData.getPackageName.ms,1736318043812000000,1736318104025000000,0
workspaceModel.initializing.ms,1736318043812000000,1736318104025000000,3
workspaceModel.check.recursive.update.ms,1736318043812000000,1736318104025000000,0
workspaceModel.workspaceFileIndexData.instances.count,1736318043812000000,1736318104025000000,1
FilePageCacheLockFree.housekeeperTurnsDone,1736318043812000000,1736318104025000000,0
FilePageCacheLockFree.heapBytesInUse,1736318043812000000,1736318104025000000,0
StorageLockContext.competingThreads.max,1736318043812000000,1736318104025000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1736318043812000000,1736318104025000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1736318043812000000,1736318104025000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1736318043812000000,1736318104025000000,0
DirectByteBufferAllocator.disposed,1736318043812000000,1736318104025000000,0
DirectByteBufferAllocator.misses,1736318043812000000,1736318104025000000,117
FilePageCache.capacityInBytes,1736318043812000000,1736318104025000000,503316478
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1736318043812000000,1736318104025000000,1915371
FilePageCache.uncachedFileAccess,1736318043812000000,1736318104025000000,95
FilePageCacheLockFree.totalHeapBytesReclaimed,1736318043812000000,1736318104025000000,0
FilePageCacheLockFree.totalPagesHandedOver,1736318043812000000,1736318104025000000,0
MappedFileStorage.totalBytesMapped,1736318043812000000,1736318104025000000,202637312
StreamlinedBlobStorage.recordsRelocated,1736318043812000000,1736318104025000000,0
FilePageCacheLockFree.totalBytesWritten,1736318043812000000,1736318104025000000,0
FilePageCacheLockFree.totalPagesAllocated,1736318043812000000,1736318104025000000,0
StorageLockContext.competingThreads.avg,1736318043812000000,1736318104025000000,0.0
StorageLockContext.competingThreads.90P,1736318043812000000,1736318104025000000,0
MappedFileStorage.storages,1736318043812000000,1736318104025000000,16
FilePageCacheLockFree.totalNativeBytesReclaimed,1736318043812000000,1736318104025000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1736318043812000000,1736318104025000000,476246
FilePageCacheLockFree.totalNativeBytesAllocated,1736318043812000000,1736318104025000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1736318043812000000,1736318104025000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1736318043812000000,1736318104025000000,0
FilePageCache.disposedBuffers,1736318043812000000,1736318104025000000,3
FilePageCacheLockFree.totalPagesRequested,1736318043812000000,1736318104025000000,0
DirectByteBufferAllocator.hits,1736318043812000000,1736318104025000000,3
FilePageCacheLockFree.totalPagesRequestsMs,1736318043812000000,1736318104025000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1736318043812000000,1736318104025000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1736318043812000000,1736318104025000000,118521856
MappedFileStorage.totalPagesMapped,1736318043812000000,1736318104025000000,16
FilePageCache.maxRegisteredFiles,1736318043812000000,1736318104025000000,240
StreamlinedBlobStorage.recordsAllocated,1736318043812000000,1736318104025000000,26960
StreamlinedBlobStorage.recordsDeleted,1736318043812000000,1736318104025000000,4
FilePageCache.pageHits,1736318043812000000,1736318104025000000,0
FilePageCacheLockFree.totalPagesWritten,1736318043812000000,1736318104025000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1736318043812000000,1736318104025000000,44251
FileChannelInterruptsRetryer.totalRetriedAttempts,1736318043812000000,1736318104025000000,0
FilePageCacheLockFree.totalPagesWriteMs,1736318043812000000,1736318104025000000,0
FilePageCacheLockFree.totalPagesReadMs,1736318043812000000,1736318104025000000,0
FilePageCache.maxCacheSizeInBytes,1736318043812000000,1736318104025000000,118521856
FilePageCache.totalPageLoadsUs,1736318043812000000,1736318104025000000,574237
FilePageCache.totalPageDisposalsUs,1736318043812000000,1736318104025000000,498
FilePageCacheLockFree.totalBytesRead,1736318043812000000,1736318104025000000,0
FilePageCache.pageLoads,1736318043812000000,1736318104025000000,120
FilePageCache.pageFastCacheHits,1736318043812000000,1736318104025000000,105094
FilePageCacheLockFree.totalPagesReclaimed,1736318043812000000,1736318104025000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1736318043812000000,1736318104025000000,0
FilePageCacheLockFree.totalBytesRequested,1736318043812000000,1736318104025000000,0
DirectByteBufferAllocator.reclaimed,1736318043812000000,1736318104025000000,3
FilePageCacheLockFree.nativeBytesInUse,1736318043812000000,1736318104025000000,0
cacheStateStorage.get.duration,1736318043812000000,1736318104025000000,141
cacheStateStorage.get.counter,1736318043812000000,1736318104025000000,18
cacheStateStorage.set.duration,1736318043812000000,1736318104025000000,11
cacheStateStorage.set.counter,1736318043812000000,1736318104025000000,2
VFS.contentStorage.recordsDecompressionTimeUs,1736318043812000000,1736318104025000000,0
VFS.contentStorage.recordsStored,1736318043812000000,1736318104025000000,2
FileNameCache.queries,1736318043812000000,1736318104025000000,121024
VFS.contentStorage.recordsReadDecompressed,1736318043812000000,1736318104025000000,0
VFS.contentStorage.recordsStoredCompressed,1736318043812000000,1736318104025000000,0
VFS.fileChildByName,1736318043812000000,1736318104025000000,18272
VFS.invertedFileNameIndex.requests,1736318043812000000,1736318104025000000,0
VFS.fileByIdCache.hits,1736318043812000000,1736318104025000000,30
VFS.contentStorage.recordsRead,1736318043812000000,1736318104025000000,3
VFS.contentStorage.recordsDeduplicated,1736318043812000000,1736318104025000000,0
FileNameCache.totalMisses,1736318043812000000,1736318104025000000,5888
VFS.contentStorage.recordsUncompressedSize,1736318043812000000,1736318104025000000,47
VFS.contentStorage.recordsStoredSize,1736318043812000000,1736318104025000000,47
VFS.contentStorage.recordsReadSize,1736318043812000000,1736318104025000000,47
